Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière des pertes modélisées (W);Energie moyenne journalière des consommations totales (Wh/jour);Energie moyenne journalière des consommations HTA télérelevées à courbe de charge (Wh/jour);Energie moyenne journalière des consommations totales profilées (Wh/jour);Energie moyenne journalière des consommations HTA profilées (Wh/jour);Energie moyenne journalière des consommations PME-PMI profilées (Wh/jour);Energie moyenne journalière des consommations professionnelles profilées (Wh/jour);Energie moyenne journalière des consommations résidentielles profilées (Wh/jour);Puissance moyenne journalière de la production décentralisée totale (W);Puissance moyenne journalière de la production décentralisée télérelevée à courbe de charge (W);Puissance moyenne journalière de la production décentralisée profilée (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production autre profilée (W);Température moyenne journalière réalisée lissée (°Celcius);Température moyenne journalière normale lissée (°Celcius);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Energie moyenne journalière des consommations HTA totales (Wh/jour);Pseudo rayonnement;Puissance moyenne journalière de la production autre  (W)
2014-11-20;11;46810220250.0;520321771.0;3231237731.0;46447199645.0;13397494254.0;33049705391.0;1945106430.0;5688800705.0;5830331235.0;19585467022.0;3850790328.0;3701729917.0;149060411.0;129451222.0;2771017.0;9.1;8.4;1268997568.0;335249247.0;462251431.0;15342600684.0;;2246537071.0
2014-10-04;10;29371499688.0;455642938.0;2025275606.0;29167974277.0;9160050861.0;20007923416.0;950862195.0;3484668073.0;3615968340.0;11956424808.0;2556117981.0;2223482368.0;332635613.0;321619139.0;2001746.0;17.3;15.1;1180077612.0;649965216.0;278724847.0;10110913056.0;;726079253.0
2014-05-26;5;34806656208.0;436877271.0;2086096938.0;34547704920.0;12048500130.0;22499204791.0;1603036672.0;4612631957.0;3890657244.0;12392878918.0;2574392823.0;2082840403.0;491552420.0;458611772.0;3914899.0;14.5;17.1;716044898.0;721889589.0;310369903.0;13651536802.0;;1136460815.0
2014-05-22;5;33865737833.0;1543603729.0;2010051232.0;34778665479.0;12735015297.0;22043650183.0;1737598235.0;4682477886.0;4081131567.0;11542442495.0;4747025559.0;4263136653.0;483888906.0;449619623.0;3914897.0;16.3;16.7;2925780421.0;741999671.0;280442952.0;14472613532.0;;1079232585.0
2014-06-05;6;33988593083.0;598660146.0;2017226041.0;34242376630.0;12755447076.0;21486929554.0;1718642656.0;4708133047.0;4032067672.0;11028086179.0;3163263713.0;2653279076.0;509984636.0;483425460.0;2898353.0;15.8;18.2;1104348349.0;976761414.0;293593979.0;14474089732.0;;1082147524.0
2014-05-27;5;35240701125.0;737146458.0;2112939233.0;35544506627.0;12718794944.0;22825711682.0;1915197943.0;4780082561.0;4138413486.0;11992017693.0;3462948936.0;2971386576.0;491562360.0;458621654.0;3915136.0;14.3;17.2;1418963635.0;815021146.0;309057743.0;14633992887.0;;1228965256.0
2014-06-06;6;33134792896.0;837060125.0;1955587103.0;33629554256.0;12549729666.0;21079824590.0;1664046606.0;4553741999.0;4023904157.0;10838131828.0;3571231352.0;3061035437.0;510195914.0;483578736.0;2897942.0;17.9;18.3;1583752787.0;910125210.0;283822764.0;14213776272.0;;1077346899.0
2014-07-10;7;33461152771.0;1451522438.0;2075864622.0;34279537264.0;12794753162.0;21484784102.0;1798985199.0;4772282444.0;4080023608.0;10833492852.0;4626505588.0;4142550049.0;483955539.0;460496166.0;1692591.0;16.8;21.2;2706896771.0;769986589.0;280734035.0;14593738361.0;;1149622774.0
2014-08-13;8;28894222625.0;1058469708.0;1734715391.0;29534682628.0;9855652036.0;19679030592.0;1496635777.0;4277092024.0;3671033040.0;10234269751.0;3698032124.0;3247005660.0;451026464.0;431906873.0;1655727.0;18.6;21.2;1845106386.0;793742259.0;264387021.0;11352287813.0;;1059169831.0
2014-06-26;6;34470121583.0;410298188.0;2056809163.0;34202680711.0;13149663486.0;21053017225.0;1725488715.0;4679134350.0;4015105895.0;10633288265.0;2490151978.0;1962470271.0;527681707.0;503562448.0;2610194.0;20.1;20.2;703741437.0;897420358.0;290485500.0;14875152201.0;;888991770.0
