Maille géographique,Année,Nom IRIS,Code IRIS,Type IRIS,Nom commune,Code commune,Nom EPCI,Code EPCI,Type EPCI,Nom département,Code département,Nom région,Code région,Nb sites secteur résidentiel,Conso totale secteur résidentiel (MWh),Conso moyenne secteur résidentiel (MWh),Nb sites Agriculture,Conso totale Agriculture (MWh),Nb sites Industrie,Conso totale Industrie (MWh),Nb sites Tertiaire,Conso totale Tertiaire (MWh),Nb sites Secteur non affecté,Conso totale Secteur non affecté (MWh)
EPCI,2012,,,,,,CA de la Presqu'Ile de Guérande Atlantique,244400610,CA,Loire-Atlantique,,Pays de la Loire,,76231,364635.612663415,4.78329829942432,10,928.198012497523,74,28012.3254934096,476.0,148575.903788737,3,114.015265105725
EPCI,2014,,,,,,CA de la Presqu'île de Guérande Atlantique (CAP ATLANTIQUE),244400610,CA,Loire-Atlantique,,Pays de la Loire,,77800,345744.031038714,4.44401068173154,12,1182.46862783961,83,28366.7425661134,489.0,153528.049490726,,
EPCI,2015,,,,,,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),244400610,CA,Loire-Atlantique,,Pays de la Loire,,78359,356990.314434735,4.5558304015459,12,1237.12721674637,83,28498.8180833507,491.0,154279.318675732,5,163.578591136434
EPCI,2014,,,,,,CA de la Région Nazairienne et de l'Estuaire (CARENE),244400644,CA,Loire-Atlantique,,Pays de la Loire,,78356,341481.09816168,4.35807210885803,,,196,222554.264698043,726.0,179224.176605214,16,94.0556132485815
EPCI,2015,,,,,,CA de la Région Nazairienne et de l'Estuaire (Carene),244400644,CA,Loire-Atlantique,,Pays de la Loire,,79082,351954.710602979,4.45050340915732,,,193,232231.143900719,730.0,179771.705167484,17,29.767
EPCI,2013,,,,,,CC Sèvre Maine et Goulaine,244400651,CC,Loire-Atlantique,,Pays de la Loire,,6296,50141.7791667649,7.9640691179741,5,2267.66351556265,23,26685.536645525,47.0,10800.199238248,,
EPCI,2012,,,,,,CC de Pornic,244400677,CC,Loire-Atlantique,,Pays de la Loire,,33107,183118.57648507,5.53111355559458,0,0.0,38,32216.2161139097,215.0,49871.3011833426,3,415.27105370069
EPCI,2015,,,,,,CC Loire et Sillon,244400693,CC,Loire-Atlantique,,Pays de la Loire,,11270,80164.0719203551,7.1130498598363,,,36,20828.6260664135,94.0,18574.5747808189,0,0.0
EPCI,2016,,,,,,CC de Grand Lieu,244400438,CC,Loire-Atlantique,,Pays de la Loire,,17331,128001.134499433,7.38567506199486,47,8225.11535396429,74,62020.8413896939,121.0,21264.5034968238,0,0.0
EPCI,2016,,,,,,CC de la Vallée de Clisson,244400446,CC,Loire-Atlantique,,Pays de la Loire,,18824,126835.685661411,6.73797735132866,39,8388.69775064695,57,49511.6271973745,133.0,22423.9328430112,,
EPCI,2016,,,,,,CC de la Région de Nozay,244400537,CC,Loire-Atlantique,,Pays de la Loire,,7479,56968.5887805507,7.61713982892776,6,1312.57485298387,17,7806.51428673303,53.0,8470.96594971444,,
EPCI,2016,,,,,,CC de Pornic,244400677,CC,Loire-Atlantique,,Pays de la Loire,,36348,200411.64619044,5.51369115743479,7,809.510083557027,51,41006.3694619961,253.0,54022.0816221227,,
EPCI,2014,,,,,,CU Nantes Métropole,244400404,CU,Loire-Atlantique,,Pays de la Loire,,356931,1548362.64880963,4.33798871157066,30,6987.26632931487,846,423186.156875676,3678.0,1081920.91153875,51,1558.16213726067
EPCI,2013,,,,,,CC de la Région de Machecoul,244400420,CC,Loire-Atlantique,,Pays de la Loire,,9823,77934.1661784219,7.93384568649311,31,4005.65849026251,30,8918.24097310884,71.0,15093.2903018395,5,96.1876065536549
EPCI,2011,,,,,,CC de Grand Lieu,244400438,CC,Loire-Atlantique,,Pays de la Loire,,16015,114857.035650285,7.17184112708614,41,10477.7767891004,63,49724.2008974522,115.0,17469.5874671737,0,0.0
EPCI,2012,,,,,,CC de la Vallée de Clisson,244400446,CC,Loire-Atlantique,,Pays de la Loire,,17757,124014.274550274,6.9839654530762,34,7620.72772840532,51,46765.2019009734,121.0,20834.1363110889,,
